name,label
00001.png,sad
00002.png,sad
00003.png,sad
00004.png,sad
00005.png,sad
00006.png,sad
00007.png,sad
00008.png,sad
00009.png,sad
00010.png,sad
00011.png,sad
00012.png,sad
00013.png,sad
00014.png,sad
00015.png,sad
00016.png,sad
00017.png,sad
00018.png,sad
00019.png,sad
00020.png,sad
00021.png,sad
00022.png,sad
00023.png,sad
00024.png,sad
00025.png,sad
00026.png,sad
00027.png,sad
00028.png,sad
00029.png,sad
00030.png,sad
00031.png,sad
00032.png,sad
00033.png,sad
00034.png,sad
00035.png,sad
00036.png,sad
00037.png,sad
00038.png,sad
00039.png,sad
00040.png,sad
00041.png,sad
00042.png,sad
00043.png,sad
00044.png,sad
00045.png,sad
00046.png,sad
00047.png,sad
00048.png,sad
00049.png,sad
00050.png,sad
00051.png,sad
00052.png,sad
00053.png,sad
00054.png,sad
00055.png,sad
00056.png,sad
00057.png,sad
00058.png,sad
00059.png,sad
00060.png,sad
00061.png,sad
00062.png,sad
00063.png,sad
00064.png,sad
00065.png,sad
00066.png,sad
00067.png,sad
00068.png,sad
00069.png,sad
00070.png,sad
00071.png,sad
00072.png,sad
00073.png,sad
00074.png,sad
00075.png,sad
00076.png,sad
00077.png,sad
00078.png,sad
00079.png,sad
00080.png,sad
00081.png,sad
00082.png,sad
00083.png,sad
00084.png,sad
00085.png,sad
00086.png,sad
00087.png,sad
00088.png,sad
00089.png,sad
00090.png,sad
00091.png,sad
00092.png,sad
00093.png,sad
00094.png,sad
00095.png,sad
00096.png,sad
00097.png,sad
00098.png,sad
00099.png,sad
00100.png,sad
00101.png,sad
00102.png,sad
00103.png,sad
00104.png,sad
00105.png,sad
00106.png,sad
00107.png,sad
00108.png,sad
00109.png,sad
00110.png,sad
00111.png,sad
00112.png,sad
00113.png,sad
00114.png,sad
00115.png,sad
00116.png,sad
00117.png,sad
00118.png,sad
00119.png,sad
00120.png,sad
00121.png,sad
00122.png,sad
00123.png,sad
00124.png,sad
00125.png,sad
00126.png,sad
00127.png,sad
00128.png,sad
00129.png,sad
00130.png,sad
00131.png,sad
00132.png,sad
00133.png,sad
00134.png,sad
00135.png,sad
00136.png,sad
00137.png,sad
00138.png,sad
00139.png,sad
00140.png,sad
00141.png,sad
00142.png,sad
00143.png,sad
00144.png,sad
00145.png,sad
00146.png,sad
00147.png,sad
00148.png,sad
00149.png,sad
00150.png,sad
00151.png,sad
00152.png,sad
00153.png,sad
00154.png,sad
00155.png,sad
00156.png,sad
00157.png,sad
00158.png,sad
00159.png,sad
00160.png,sad
00161.png,sad
00162.png,sad
00163.png,sad
00164.png,sad
00165.png,sad
00166.png,sad
00167.png,sad
00168.png,sad
00169.png,sad
00170.png,sad
00171.png,sad
00172.png,sad
00173.png,sad
00174.png,sad
00175.png,sad
00176.png,sad
00177.png,sad
00178.png,sad
00179.png,sad
00180.png,sad
00181.png,sad
00182.png,sad
00183.png,sad
00184.png,sad
00185.png,sad
00186.png,sad
00187.png,sad
00188.png,sad
00189.png,sad
00190.png,sad
00191.png,sad
00192.png,sad
00193.png,sad
00194.png,sad
00195.png,sad
00196.png,sad
00197.png,sad
00198.png,sad
00199.png,sad
00200.png,sad
00201.png,sad
00202.png,sad
00203.png,sad
00204.png,sad
00205.png,sad
00206.png,sad
00207.png,sad
00208.png,sad
00209.png,sad
00210.png,sad
00211.png,sad
00212.png,sad
00213.png,sad
00214.png,sad
00215.png,sad
00216.png,sad
00217.png,sad
00218.png,sad
00219.png,sad
00220.png,sad
00221.png,sad
00222.png,sad
00223.png,sad
00224.png,sad
00225.png,sad
00226.png,sad
00227.png,sad
00228.png,sad
00229.png,sad
00230.png,sad
00231.png,sad
00232.png,sad
00233.png,sad
00234.png,sad
00235.png,sad
00236.png,sad
00237.png,sad
00238.png,sad
00239.png,sad
00240.png,sad
00241.png,sad
00242.png,sad
00243.png,sad
00244.png,sad
00245.png,sad
00246.png,sad
00247.png,sad
00248.png,sad
00249.png,sad
00250.png,sad
00251.png,sad
00252.png,sad
00253.png,sad
00254.png,sad
00255.png,sad
00256.png,sad
00257.png,sad
00258.png,sad
00259.png,sad
00260.png,sad
00261.png,sad
00262.png,sad
00263.png,sad
00264.png,sad
00265.png,sad
00266.png,sad
00267.png,sad
00268.png,sad
00269.png,sad
00270.png,sad
00271.png,sad
00272.png,sad
00273.png,sad
00274.png,sad
00275.png,sad
00276.png,sad
00277.png,sad
00278.png,sad
00279.png,sad
00280.png,sad
00281.png,sad
00282.png,sad
00283.png,sad
00284.png,sad
00285.png,sad
00286.png,sad
00287.png,sad
00288.png,sad
00289.png,sad
00290.png,sad
00291.png,sad
00292.png,sad
00293.png,sad
00294.png,sad
00295.png,sad
00296.png,sad
00297.png,sad
00298.png,sad
00299.png,sad
00300.png,sad
00301.png,sad
00302.png,sad
00303.png,sad
00304.png,sad
00305.png,sad
00306.png,sad
00307.png,sad
00308.png,sad
00309.png,sad
00310.png,sad
00311.png,sad
00312.png,sad
00313.png,sad
00314.png,sad
00315.png,sad
00316.png,sad
00317.png,sad
00318.png,sad
00319.png,sad
00320.png,sad
00321.png,sad
00322.png,sad
00323.png,sad
00324.png,sad
00325.png,sad
00326.png,sad
00327.png,sad
00328.png,sad
00329.png,sad
00330.png,sad
00331.png,sad
00332.png,sad
00333.png,sad
00334.png,sad
00335.png,sad
00336.png,sad
00337.png,sad
00338.png,sad
00339.png,sad
00340.png,sad
00341.png,sad
00342.png,sad
00343.png,sad
00344.png,sad
00345.png,sad
00346.png,sad
00347.png,sad
00348.png,sad
00349.png,sad
00350.png,sad
00351.png,sad
00352.png,sad
00353.png,sad
00354.png,sad
00355.png,sad
